자치구,사업구분,사업장명,대표지번,진행단계,lat,lng
강남구,재건축,대치우성1차아파트 재건축정비사업조합,대치동 63,사업시행인가,37.49882,127.06566
은평구,소규모재건축,성락타운아파트소규모재건축사업,신사동 261-20,조합설립인가,37.59547,126.90718
강동구,가로주택정비,성내동 288-1번지 일원 가로주택정비사업,성내동 288-1,조합설립인가,37.52998,127.12875
동작구,지역주택,(가칭)상도3동 지역주택조합,상도동 356-159,조합원 모집신고,37.4988159,126.9441045
서초구,재건축,방배3구역주택재건축정비사업조합,방배동 992-1,조합해산,37.4798789,126.9939103
서초구,재건축,신반포19차 25차(아) 재건축정비사업조합,잠원동 61-2,조합설립인가,37.5182544,127.0124028
구로구,재건축,오류동 현대연립 주택재건축정비사업조합,오류동 156-15,관리처분인가,37.4910095,126.8377379
동대문구,재개발(주택정비형),용두제1구역주택재개발정비사업조합,용두동 80-1,조합청산,37.57616,127.03476
성북구,재개발(주택정비형),장위제6구역 주택재개발정비사업조합,장위동 25-55,착공,37.6162,127.05086
용산구,가로주택정비,신창동 76-1번지 일대 가로주택정비사업조합,신창동 76-1,조합설립인가,37.53586,126.95441
노원구,재개발(주택정비형),상계5재정비촉진구역 주택재개발정비사업 조합,상계동 109-43,조합설립인가,37.66727,127.07242
관악구,재개발(주택정비형),신림8구역 재개발정비사업,신림동 650,추진위원회승인,37.4868971,126.928177
동작구,재개발(주택정비형),상도15구역 주택정비형 재개발사업,상도동 279,조합설립인가,37.4988159,126.9441045
영등포구,재건축,여의도 광장아파트 28주택재건축정비사업,여의도동 28,조합설립인가,37.5241239,126.9241566
동작구,재개발(주택정비형),사당12구역 주택재개발정비사업 조합설립추진위원회,사당동 288,추진위원회승인,37.4856963,126.9723525
마포구,재개발(도시정비형),마포로1구역 제5지구 도시정비형 재개발사업,도화동 544,추진위원회승인,37.5386394,126.9492428
도봉구,재건축,쌍문한양1차아파트 재건축사업,쌍문동 388-33,조합설립인가,37.65347,127.02715
강서구,소규모재건축,동성 소규모재건축정비사업조합,등촌동 654-43,정비계획 수립,37.5498936,126.86025
강서구,재건축,신안빌라주택재건축정비사업조합설립추진위원회 및 예비사업시행자(한국토지신탁),마곡동 327-53,사업시행인가,37.566575,126.826243
영등포구,재개발(도시정비형),영등포1-11재정비촉진구역 도시환경정비사업조합,영등포동5가 30,사업시행인가,37.5187034,126.9030823
성북구,재개발(주택정비형),동소문제2구역 주택재개발정비사업조합,동소문동2가 33,조합설립인가,37.58839,127.00785
서초구,재건축,방배14구역 주택재건축정비사업조합,방배동 975-35,철거,37.4798789,126.9939103
영등포구,재개발(주택정비형),신길9재정비촉진구역 주택재개발정비사업 조합,신길동 240-16,조합청산,37.5065214,126.9119108
영등포구,재개발(도시정비형),44. 문래동2·3가 도시환경정비사업,문래동2가 14-84,정비구역지정,37.5128036,126.8929788
영등포구,재개발(도시정비형),영등포1-12 재정비촉진구역 재개발정비사업 조합,영등포동5가 22-3,조합설립인가,37.52095,126.9066
영등포구,재개발(도시정비형),35. 영등포1-19 재정비촉진구역,영등포동2가 333,정비구역지정,37.52125,126.91222
영등포구,재개발(도시정비형),40. 영등포1-24 재정비촉진구역,영등포동2가 170,정비구역지정,37.52125,126.91222
영등포구,재개발(도시정비형),46. 영등포동4가 도시환경정비구역,영등포동4가 423,정비계획 수립,37.51777,126.90368
성동구,재건축,한남하이츠아파트 주택재건축정비사업조합,옥수동 220-1,사업시행인가,37.54176,127.01648
마포구,재개발(주택정비형),공덕6구역 주택재개발 정비사업,공덕동 119,사업시행인가,37.549927,126.9592897
구로구,가로주택정비,고척6구역 가로주택정비사업,고척동 241-63,조합설립인가,37.5032363,126.8588409
동대문구,재개발(도시정비형),용두1구역(4지구) 도시정비형재개발사업(지정개발자방식),용두동 26-3,조합설립인가,37.57616,127.03476
동대문구,재개발(도시정비형),신이문역세권 장기전세주택 도시정비형 재개발사업,이문동 168-1,조합설립인가,37.60021,127.06124
영등포구,지역주택,(가칭)영등포대림 지역주택조합,대림동 700-1,조합원 모집신고,37.4957573,126.899936
성동구,재개발(도시정비형),(가칭)금호동2가 684번지 일원 도시정비형재개발정비사업,금호동2가 684,정비계획 수립,37.55311,127.0211
동대문구,재개발(주택정비형),답십리제18구역주택재개발정비사업조합,답십리동 98,조합해산,37.57002,127.05467
서초구,재건축,방배7구역 주택재건축정비사업조합,방배동 891-3,사업시행인가,37.4798789,126.9939103
은평구,재개발(도시정비형),수색1재정비촉진구역 도시환경정비사업 조합,수색동 366-6,조합설립인가,37.5851873,126.8948584
동대문구,재개발(주택정비형),용두5구역 주택재개발정비사업조합,용두동 253,조합해산,37.57616,127.03476
서대문구,재개발(주택정비형),가재울뉴타운7구역주택재개발정비사업조합,북가좌동 73-1,조합설립인가,37.57953,126.91156
마포구,재건축,아현2구역 주택재건축정비사업 조합(뉴타운),아현동 662,조합해산,37.5505624,126.9525116
금천구,재건축,금강연립주택재건축정비사업조합,시흥동 791-40,이전고시,37.4507049,126.9085555
서대문구,재건축,홍은동제6 주택재건축정비사업 조합,홍은동 13-25,준공인가,37.59296,126.93733
서초구,재건축,방배경남아파트 주택재건축정비사업조합,방배동 1028-1,조합청산,37.4798789,126.9939103
용산구,재개발(도시정비형),신용산역북측제2구역 도시정비형재개발정비사업조합,한강로2가 2-138,사업시행인가,37.53142,126.9685
마포구,재건축,창전1구역 주택재건축정비사업조합,창전동 27-19,조합해산,37.55007,126.92938
서초구,재건축,신반포20차아파트 주택재건축정비사업조합,잠원동 60-78,조합설립인가,37.5182544,127.0124028
광진구,재건축,모진연립 주택재건축정비사업조합,화양동 499-18,조합해산,37.54408,127.06895
은평구,재개발(주택정비형),수색9재정비촉진구역주택재개발정비사업조합,수색동 30-2,조합해산,37.5851873,126.8948584
송파구,재건축,잠실우성4차 주택재건축정비사업조합,잠실동 320,관리처분인가,37.5122807,127.0855986
성북구,재건축,정릉7 주택재건축정비사업 조합,정릉동 506-159,사업시행인가,37.61654,126.99794
성북구,재개발(주택정비형),길음제8구역 주택재개발정비사업조합,길음동 612-10,조합해산,37.6085308,127.0201946
서초구,재건축,서초중앙하이츠2구역 주택재건축정비사업조합,방배동 1000-3,사업시행인가,37.4798789,126.9939103
강서구,재건축,방화5재정비촉진구역 재건축정비사업조합,공항동 18,관리처분인가,37.5600688,126.7992567
강남구,재건축,압구정아파트지구 특별계획구역5 재건축정비사업조합,압구정동 490,조합설립인가,37.5300432,127.0313346
강남구,재건축,도곡삼호아파트 주택재건축정비사업조합,도곡동 540,착공,37.4878395,127.0438569
양천구,재건축,신정4재정비촉진구역 재건축정비사업조합,신정동 1200-1,관리처분인가,37.5162407,126.8521196
중랑구,가로주택정비,세광하니타운가로주택정비사업조합,중화동 296-44,착공,37.59755,127.07783
강남구,재건축,개포주공5단지아파트 재건축정비사업 조합,개포동 187,관리처분인가,37.48421,127.07006
성북구,재개발(도시정비형),신길음1구역 재개발정비사업 조합,길음동 31-1,조합설립인가,37.6085308,127.0201946
동작구,지역주택,동작상도역지역주택조합,상도동 154-30,지구단위계획수립/건축심의/교통심의,37.4988159,126.9441045
강동구,가로주택정비,암사동 495번지 일대 가로주택정비사업,암사동 495,조합설립인가,37.5582352,127.1308542
도봉구,재개발(주택정비형),도봉제2구역 주택재개발정비사업조합,도봉동 95,착공,37.6826056,127.0425405
노원구,재건축,공릉1(태릉현대) 주택재건축정비사업조합,공릉동 230,조합해산,37.63021,127.08818
노원구,재개발(주택정비형),월계제4구역 주택재개발정비사업조합,월계동 672,조합청산,37.6289,127.0567
은평구,재개발(주택정비형),수색6재정비촉진구역 주택재개발 정비사업조합,수색동 115-5,이전고시,37.5851873,126.8948584
서대문구,재개발(도시정비형),홍제3구역도시환경정비사업조합설립추진위원회,홍제동 306-2,추진위원회승인,37.5871,126.94676
서초구,재건축,방배6구역 주택재건축 정비사업 조합,방배동 818-14,이전고시,37.4798789,126.9939103
강남구,재건축,은마아파트 재건축정비사업조합,대치동 316,조합설립인가,37.4978065,127.0524018
강남구,재건축,개포주공4단지아파트 재건축정비사업 조합,개포동 189,준공인가,37.48421,127.07006
서대문구,재개발(도시정비형),홍제제2구역 도시환경정비사업조합,홍제동 326-5,조합설립인가,37.5871,126.94676
동작구,재개발(주택정비형),노량진5재정비촉진구역 조합,노량진동 270-3,관리처분인가,37.5110101,126.9414634
동작구,재개발(주택정비형),노량진6재정비촉진구역 조합,노량진동 294-220,착공,37.512613,126.942124
동작구,재개발(주택정비형),노량진2재정비촉진구역 조합,노량진동 312-75,착공,37.5110101,126.9414634
광진구,재건축,중앙연립 주택재건축정비사업조합,화양동 35-4,이전고시,37.54408,127.06895
영등포구,재건축,문래진주아파트 주택재건축정비사업조합,문래동5가 22,관리처분인가,37.51588,126.88411
은평구,재개발(주택정비형),수색7재정비촉진구역 주택재개발정비사업조합,수색동 189,분양,37.5851873,126.8948584
송파구,재건축,가락1차현대아파트 재건축정비사업 조합,문정동 3,사업시행인가,37.483062,127.1245623
구로구,재건축,길훈아파트 주택재건축정비사업조합,개봉동 312-38,착공,37.4931629,126.851736
