자치구,사업구분,사업장명,대표지번,진행단계,lat,lng,매칭구역,has_polygon
용산구,재건축,한남연립 729번지 주택재건축 정비사업조합,한남동 729,조합청산,37.52050824965235,126.85186260618221,도시환경정비사업,True
은평구,재건축,응암제4구역 주택재건축정비사업조합,응암동 225-1,조합청산,37.5696749973672,126.99653130397422,4구역,True
성북구,재개발(주택정비형),종암제6구역주택재개발정비사업조합,종암동 95-2,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
서초구,재건축,우성3차 주택재건축정비사업조합,서초동 1332-1,조합해산,37.52050824965235,126.85186260618221,도시환경정비사업,True
서초구,재건축,방배삼익아파트 주택재건축정비사업조합,방배동 1018-1,분양,37.47877238161019,127.00186501146096,방배삼익아파트 주택재건축 정비구역,True
동작구,재개발(주택정비형),노량진8재정비촉진구역 조합,대방동 23-61,관리처분인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
성동구,재건축,장미아파트 주택재건축정비사업 조합설립추진위원회,성수동1가 656-421,추진위원회승인,37.52050824965235,126.85186260618221,도시환경정비사업,True
서초구,재건축,신반포22차아파트 주택재건축정비사업조합,잠원동 65-33,착공,37.52050824965235,126.85186260618221,도시환경정비사업,True
은평구,재개발(주택정비형),응암제1구역 주택재개발정비사업조합,응암동 8,조합청산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
영등포구,재개발(주택정비형),신길11재정비촉진구역 주택재개발정비사업조합,신길동 329-94,조합청산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
은평구,재개발(주택정비형),수색4재정비촉진구역 주택재개발 정비사업 조합,수색동 330-1,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
영등포구,재개발(주택정비형),신길7재정비촉진구역 주택재개발정비사업 조합,신길동 2039,조합청산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
영등포구,재개발(주택정비형),신길14재정비촉진구역 주택재개발정비사업 조합,신길동 347-50,조합해산,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
